id,name,kind,direction,status,json,comp,note
A018,Wheel Plow,text-punct,JSON error,FIXED,"Once this game, when you use the ""Farmland"" or Cultivation"" action space with the first person you place in a round, you can plow 2 additional fields.","Once this game, when you use the ""Farmland"" or ""Cultivation"" action space with the first person you place in a round, you can plow 2 additional fields.","JSON drops the opening quotation mark before Cultivation ('or Cultivation""'); compendium prints 'or ""Cultivation""'. Punctuation-only difference."
A032,Manger,text-typo,JSON error,FIXED,"During scoring, if your pastures cover at least 6/7/8/10 farm yard spaces, you get 1/2/3/4 bonus points.","During scoring, if your pastures cover at least 6/7/8/10 farmyard spaces, you get 1/2/3/4 bonus points.",JSON splits 'farmyard' into two words 'farm yard'; compendium prints the correct single word 'farmyard'. Name (Manger) agrees.
A060,Oriental Fireplace,text-wording,wording only,outstanding,"At any time: Vegetable → 4 Food; Sheep → 3 Food; Cattle → 5 Food ""Bake Bread"" action: Grain → 2 Food","At any time, you may convert goods to food as follows: Vegetable ➝ 4 food; Sheep ➝ 3 food; Cattle ➝ 5 food. Whenever you bake bread, you may convert: Grain ➝ 2 food.","Same conversions/rates/timing; JSON is a terse table, compendium spells the same rules out in full sentences (footnote ""15 Ponton on BGG 9"" removed)."
A084,Silage,text-punct,JSON error,outstanding,"In each returning home phase after which there is no harvest, you can pay exactly 1 grain—even from a field-to breed exactly one type of animal.","In each returning home phase after which there is no harvest, you can pay exactly 1 grain - even from a field - to breed exactly one type of animal.",Same words; JSON uses em-dash 'grain—even' and glued 'field-to' vs compendium spaced hyphens 'grain - even from a field - to breed' — punctuation/spacing only.
A089,Stable Planner,text-typo,JSON error,FIXED,"Add 3, 6, and 9 to the current round. You can place 1 stable on each corresponding round space. A the start of these rounds (not earlier), you can build the stable at no cost.","Add 3, 6, and 9 to the current round. You can place 1 stable on each corresponding round space. At the start of these rounds (not earlier), you can build the stable at no cost.","JSON has typo ""A the start"" (missing t); compendium reads ""At the start"". Otherwise identical."
A099,Fellow Grazer,text-typo,JSON error,FIXED,"During scoring, you get 2 bonus points of reach pasture you have covering at least 3 farmyard spaces.","During scoring, you get 2 bonus points for each pasture you have covering at least 3 farmyard spaces.","JSON has typo ""points of reach pasture""; compendium reads correctly ""points for each pasture""."
A114,Seasonal Worker,text-punct,JSON error,outstanding,"Each time you use the ""Day Laborer"" action space, you get 1 additional grain. From round 6 on, you can choose to get 1 vegetable instead.","Each time you use the ""Day Laborer"" action space, you get 1 additional grain. From Round 6 on, you can choose to get 1 vegetable instead.","Capitalization only: compendium prints ""From Round 6 on"" vs JSON ""From round 6 on""; all other text and the name (""Seasonal Worker"") match."
A117,Wood Carrier,text-typo,JSON error,FIXED,"When you play this card, you immediately get 1 wood fore each improvement in front of you.","When you play this card, you immediately get 1 wood for each improvement in front of you.","JSON has typo ""wood fore each""; compendium printed text correctly reads ""wood for each""."
A119,Firewood Collector,text-punct,JSON error,FIXED,"Each time you use the ""Farmland"", ""Grain Seeds"", Grain Utilization"", or ""Cultivation"" action space, at the end of that turn, you get 1 wood.","Each time you use the ""Farmland"", ""Grain Seeds"", ""Grain Utilization"", or ""Cultivation"" action space, at the end of that turn, you get 1 wood.",JSON omits the opening quotation mark before Grain Utilization; compendium quotes it properly. Punctuation-only.
A136,Drudgery Reeve,text-mechanical,DIFFERS (adjudicate),FIXED,"If there are still 1/3/6/9 complete rounds left to play, you immediately get 1/2/3/4 wood. During scoring, each player with 1+/2+/3+ building resources of each type gets 1/3/5 bonus points.","If there are still 3/6/9 complete rounds left to play, you immediately get 2/3/4 wood. During scoring, each player with 1+/2+/3+ building resources of each type gets 1/3/5 bonus points.",JSON has four wood tiers (1/3/6/9 rounds -> 1/2/3/4 wood) vs printed card's three (3/6/9 -> 2/3/4 wood); JSON's extra low tier appears copied from the adjacent Animal Reeve card. Scoring clause identical.
A138,Harpooner,text-punct,JSON error,outstanding,"Each time you use the ""Fishing"" accumulation space you can also pay 1 wood to get 1 food for each person you have, and 1 reed","Each time you use the ""Fishing"" accumulation space you can also pay 1 wood to get 1 food for each person you have, and 1 reed.","JSON omits the trailing sentence-ending period that the compendium prints after ""1 reed""; otherwise identical."
A155,Conjurer,text-punct,JSON error,FIXED,"Each time you use the ""traveling Players"" accumulation space, you get an additional 1 wood and 1 grain.","Each time you use the ""Traveling Players"" accumulation space, you get an additional 1 wood and 1 grain.","Capitalization only: JSON lowercases the action-space name as ""traveling Players""; compendium prints ""Traveling Players""."
B003,Moonshine,text-wording,wording only,outstanding,"Randomly select an occupation in your hand. Either play it for an occupation cost of 2 food, or give it to the player to your left.",Determine a random occupation in your hand. Immediately play it for an occupation cost of 2 food or give it to the player to your left.,"Same meaning, reworded: JSON ""Randomly select...Either play it"" vs comp ""Determine a random...Immediately play it""; the added ""Immediately"" is emphasis on already-implied timing, no mechanical change."
B005,Store of Experience,text-mechanical,DIFFERS (adjudicate),JSON correct (kept),"If you have 0-4/5/6/7 occupations left in hand, you immediately get 1 stone/reed/clay/wood.","If you have 0-3/4/5/6-7 occupations left in hand, you immediately get 1 stone/reed/clay/wood.",Compendium thresholds are 0-3/4/5/6-7 (both raw_after and normalized text agree) vs JSON 0-4/5/6/7 — different occupation-count buckets changing which resource is gained.
B008,Market Stall,text-punct,JSON error,outstanding,"You immediately get 1 vegetable. (Effectively, you are exchanging 1 grain for 1 vegetable).","You immediately get 1 vegetable. (Effectively, you are exchanging 1 grain for 1 vegetable.)",Period placement inside vs outside closing paren: compendium 'vegetable.)' vs JSON 'vegetable).'; otherwise identical.
B011,Feedyard,text-wording,wording only,outstanding,"This card can hold 1 animal for each pasture you have, even different types. After the breeding phase of each harvest, you get 1 food for each unused spot on this card.","This card can hold 1 animal for each pasture you have, even different types. After the breeding phase of each harvest, you receive 1 food for each unused spot on this card.","JSON ""you get 1 food"" vs compendium ""you receive 1 food""; same meaning, different verb."
B012,Stockyard,text-punct,JSON error,outstanding,This card can hold up to 3 animals of the same type. (It is not considered a pasture).,This card can hold up to 3 animals of the same type. (It is not considered a pasture.),Period placement: compendium 'pasture.)' (inside paren) vs JSON 'pasture).' (outside paren); only punctuation differs.
B014,Hawktower,text-wording,wording only,outstanding,"Place a stone room on round space 12. If you live in a stone house at the start of the round, you can build the stone room at no cost. Otherwise, discard the stone room.","Place a stone room on round space 12. If you live in a stone house at the start of that round, you can build the stone room at no cost. Otherwise, discard the stone room.","Compendium reads ""at the start of that round""; JSON reads ""at the start of the round"" — same meaning, different wording."
B018,Grassland Harrow,text-typo,JSON error,FIXED (partial),"Add 1 to the current round for each building resource in your supply and place 1 field on the corresponding round space. A the start of the round, you can plow the field.","Add 1 to the current round for each building resource in your supply and place 1 field on the corresponding round space. At the start of that round, you can plow the field.","JSON has typo ""A the start"" (missing 't'); compendium reads ""At the start of that round"" (also ""that round"" vs JSON ""the round"")."
B026,Agrarian Fences,text-typo,JSON error,FIXED,"Each time you use the ""Grain Utilization"" action space, you can take a ""Build Fences"" action instead of one of the two actions provide by the action space.","Each time you use the ""Grain Utilization"" action space, you can take a ""Build Fences"" action instead of one of the two actions provided by the action space.","JSON has typo ""actions provide by"" (missing 'd'); compendium correctly reads ""actions provided by""."
